# Hyperscaler quarterly capex (USD billions). Update each quarter from earnings releases.
# Sources: company 10-Q / earnings press releases.
# Microsoft fiscal year ends June; figures mapped to calendar quarters.
# Amazon = total capex (AWS is the primary driver).
quarter,company,capex_bn_usd
2022-Q1,Amazon,16.4
2022-Q2,Amazon,16.4
2022-Q3,Amazon,16.4
2022-Q4,Amazon,16.6
2023-Q1,Amazon,14.1
2023-Q2,Amazon,12.5
2023-Q3,Amazon,12.5
2023-Q4,Amazon,13.8
2024-Q1,Amazon,13.9
2024-Q2,Amazon,16.7
2024-Q3,Amazon,22.6
2024-Q4,Amazon,26.3
2025-Q1,Amazon,24.3
2022-Q1,Microsoft,7.4
2022-Q2,Microsoft,8.4
2022-Q3,Microsoft,10.4
2022-Q4,Microsoft,8.3
2023-Q1,Microsoft,8.6
2023-Q2,Microsoft,10.7
2023-Q3,Microsoft,11.2
2023-Q4,Microsoft,11.5
2024-Q1,Microsoft,14.0
2024-Q2,Microsoft,19.0
2024-Q3,Microsoft,20.0
2024-Q4,Microsoft,22.6
2025-Q1,Microsoft,21.4
2022-Q1,Google,9.9
2022-Q2,Google,10.1
2022-Q3,Google,9.8
2022-Q4,Google,8.8
2023-Q1,Google,12.0
2023-Q2,Google,13.2
2023-Q3,Google,11.0
2023-Q4,Google,11.8
2024-Q1,Google,12.0
2024-Q2,Google,13.2
2024-Q3,Google,13.1
2024-Q4,Google,14.3
2025-Q1,Google,17.2
2022-Q1,Meta,5.5
2022-Q2,Meta,4.5
2022-Q3,Meta,3.6
2022-Q4,Meta,4.0
2023-Q1,Meta,7.1
2023-Q2,Meta,6.4
2023-Q3,Meta,6.7
2023-Q4,Meta,7.7
2024-Q1,Meta,6.7
2024-Q2,Meta,8.5
2024-Q3,Meta,9.2
2024-Q4,Meta,10.8
2025-Q1,Meta,13.7
